gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSG00000198830.12,17261,16166,23084,19304,18132,21929
ENSG00000117676.14,5152,4849,6816,5783,5932,6130
ENSG00000260063.1,21,25,37,32,29,31
ENSG00000117713.21,13453,11407,15948,12955,14329,12556
ENSG00000060642.12,885,773,1072,917,1024,887
ENSG00000204160.12,3022,2745,3593,3232,3169,3361
ENSG00000175793.12,104,114,131,158,150,157
ENSG00000142751.15,2030,1647,2402,1991,2056,2071
ENSG00000289554.1,65,35,59,59,65,38
ENSG00000198746.13,1275,1254,1589,1346,1419,1506
ENSG00000090273.14,14849,12614,18876,14107,13361,17025
ENSG00000131910.5,82,83,96,72,73,103
ENSG00000175707.10,1140,1022,1476,1231,1310,1224
ENSG00000172746.6,3,3,1,3,3,4
ENSG00000225294.1,3,2,2,2,7,8
ENSG00000253368.4,3534,3243,4266,4209,3862,4162
ENSG00000158246.8,1710,1571,2132,1815,1769,2161
ENSG00000090020.11,2991,2611,3703,3123,3172,3348
ENSG00000214973.3,5,6,8,9,6,4
ENSG00000225159.1,50,36,72,63,49,76
ENSG00000142784.16,4747,4174,5914,4366,4583,5219
ENSG00000243659.1,3,5,2,3,3,2
ENSG00000186501.15,2325,2120,2971,2491,2667,3169
ENSG00000241547.1,21,25,22,23,30,28
ENSG00000142765.18,841,754,1110,1170,1220,1272
ENSG00000142733.18,381,320,445,320,363,373
ENSG00000174950.11,8,3,6,1,3,8
ENSG00000181773.7,186,197,250,235,199,278
ENSG00000158195.11,13535,11684,16279,14887,14280,13539
ENSG00000237429.1,15,2,2,1,1,2
ENSG00000126705.15,3035,2617,3736,2920,3141,3455
ENSG00000235912.1,16,19,22,18,26,21
ENSG00000126709.16,113,138,172,40,35,44
ENSG00000009780.16,891,648,1001,851,828,789
ENSG00000231344.1,3,3,2,3,6,2
ENSG00000117758.14,3354,2956,3983,3802,3374,3143
ENSG00000117751.18,6284,5481,7502,6912,7503,6699
ENSG00000130775.16,125,104,168,82,90,131
ENSG00000117748.10,3695,3233,4505,3700,3665,3980
ENSG00000130768.15,1087,980,1427,1153,1173,1261
ENSG00000158156.9,1473,1325,1753,1498,1708,1692
